Longitude	Latitude	B2	B3	B4	B5	B6	B7	B8	B8A	B11	B12	clase
600375	499425	1810	1823	1781	2277.5	2719.9375	2888.0625	2277	2918.125	2863.6875	2316.0625	Urbano
504395	512765	2098	2067	1717	2281.375	3817.875	4427.875	4391	4891.5625	3700.3125	2338.8125	Nubes
511055	523855	2033	1986	1770	2169.25	3399.9375	4016.4375	3705	4452.875	3237.4375	2063.5	Nubes
506975	573085	1885	1899	1517	2058.5	4150.625	5056.75	4922	5479.375	2795.3125	1692.3125	Vegetacion
507075	526685	1978	1960	1592	2058	3917.125	4697.3125	4526	5185.4375	3010.125	1775.3125	Nubes
598705	515585	2232	2289	2175	2340.8125	2871.125	3077.875	2993	3147.3125	2725.5	2367.75	Urbano
602575	499465	1614	1565	1406	1721.0625	2351.75	2561.875	2646	2705.4375	2065	1615.75	Urbano
548865	499945	1830	1817	1465	1880.625	3454	4063.1875	3945	4356.3125	2557	1632.125	Vegetacion
531765	549715	1839	1697	1390	1608.5	2726.8125	3156.3125	3464	3226.5	1983.875	1284.4375	Agua
560705	533295	2774	2742	2609	2803.625	4040.5	4590.0625	4509	4929	3359.6875	2313.5	Nubes
549525	560585	8602	8519	8898	8793.0625	9110.25	9491.4375	9341	9674.25	7627.6875	5973.4375	Nubes
506455	532745	3566	3522	3453	3643.125	4792.0625	5416.1875	5165	5860.3125	4820.6875	3363.4375	Nubes
512215	514155	2243	2267	2245	2670.9375	3543.75	4046.3125	3867	4462.8125	4064.75	2674.125	Nubes
556615	499115	1925	1950	1711	2192.5	3446.3125	3997	3766	4432.875	3354.4375	2120.6875	Vegetacion
550955	499845	1843	1756	1431	1816.5	3375.5	4070.6875	3638	4428.25	2577	1599.3125	Vegetacion
553445	492915	1959	1977	1604	2195.875	4287.625	5035.5	4895	5568.0625	3242.8125	1953.125	Vegetacion
567415	503005	7181	6964	7178	7105.5	7408.9375	7704.6875	7458	7856.3125	5836.5	4515.3125	Nubes
548065	496425	1794	1771	1439	1790.875	3530.125	4323.625	4282	4677.125	2596.25	1597.3125	Vegetacion
549905	500365	1820	1638	1370	1490.0625	2028.6875	2203.5625	2209	2248	1507.6875	1207.9375	Vegetacion
503495	520015	6097	5842	6118	6118.0625	6506.6875	6884.8125	6401	7018.75	5688.0625	4637.75	Nubes
566645	522855	3532	3398	3367	3350	4057.5625	4375.0625	4349	4541.8125	3664.75	3133.125	Nubes
600445	495465	2018	2057	2035	2356.5625	3105.9375	3349.6875	3292	3562	3214.0625	2466.625	Urbano
503895	540075	6455	6254	6486	6434.625	6892.75	7256.3125	6886	7525.75	6368.9375	5169.375	Nubes
503665	508445	1970	1932	1582	2043.1875	3535.1875	4143.125	4082	4557.375	3083.375	1840.6875	Nubes
550945	499075	1980	1950	1781	1902.1875	2840.9375	3276.9375	3662	3435.375	2578.4375	1802.0625	Vegetacion
500525	518555	3302	3018	2817	2862.625	3541	3924.75	3739	4077.375	2764.5	2061.75	Nubes
556285	498975	1809	1724	1461	1786.1875	2965.6875	3381.6875	2994	3649.125	2351.25	1579.875	Vegetacion
557295	498115	1819	1773	1417	1796.125	3560.5625	4331.4375	4361	4723.75	2547.75	1581.5625	Vegetacion
550595	563065	6830	6782	7193	7196.6875	7743.6875	8182.6875	7779	8418.6875	6728.25	5275.3125	Nubes
550125	501635	1857	1835	1525	1935.3125	3455.4375	4166.5	3792	4520.3125	2844.875	1808.5625	Vegetacion
548325	559365	1826	1633	1415	1519.4375	2083.6875	2363.25	2232	2468.875	1595.25	1277.625	Nubes
584945	500485	1988	2009	1888	2121.8125	3349.5	3968.125	3473	4188	3022.625	2317.9375	Urbano
562725	532535	7062	7022	7437	7467.4375	7803.875	8168.0625	7732	8335.5	7051.25	5792.3125	Nubes
598615	498885	2651	2604	2812	2699.9375	2824.125	2846.875	2943	2930	3333.9375	3138.6875	Urbano
510055	527315	1991	2102	2019	2132.9375	3052	3525	2849	3725.5	2619.125	1875.1875	Nubes
595345	517285	2480	2438	2643	2654.8125	2740.75	2892.125	2697	2928.6875	3283.375	3124.25	Urbano
505555	506315	2621	2642	2668	2858.0625	3663	4088.75	4077	4444.1875	4110.1875	2744.9375	Nubes
528005	533995	2122	2113	2197	2163.4375	2079	2224.8125	1998	2018.25	1190.125	1099.5	Agua
551345	560885	8353	8270	8749	8748	9241.9375	9677.75	9164	9914.1875	7839	6180.75	Nubes
569405	502045	5316	5224	5418	5586.9375	6130.3125	6494.6875	6098	6705.1875	5208.5625	4180.5	Nubes
505625	545755	1891	1882	1490	1991.5625	4179.3125	5197.0625	5045	5660.5	2838.1875	1682.1875	Nubes
527275	539225	2008	2040	1785	2157.5625	3390.125	3996.8125	4184	4260.875	2400.0625	1558.3125	Agua
593355	510155	2465	2458	2548	2708.5625	2865.75	2954	2792	3026.0625	3323.8125	3145.9375	Urbano
589995	510695	2723	2654	2748	2541.75	2721.625	2723.9375	2733	2776.6875	3038.25	2928.3125	Urbano
601615	500265	1735	1755	1546	1948.5625	3159.8125	3618.125	3954	3875	2840.25	2022.125	Urbano
500525	532935	5083	5008	5296	5374.125	6176.4375	6738.4375	6211	7131.25	6202	4875.5	Nubes
507995	535205	2019	1990	1748	2115.5	3575.25	4173.875	4277	4671.9375	3301.3125	2011.625	Nubes
594745	501195	2124	2246	2238	2604.125	3292.6875	3511.1875	3526	3663.1875	3383.625	2998.5	Urbano
562235	528715	2820	2736	2512	2922.375	4449.625	5110.8125	4995	5575.5	4017.625	3084	Nubes
505875	543785	1871	1807	1447	1921	3898.4375	4719.5625	4338	5147.9375	2784.6875	1681.25	Nubes
529325	568305	1919	1858	1555	2029	3457.1875	4092.375	3734	4565.4375	3067.375	2031.3125	Agua
